ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-24-009,Needles selected on 2011-05-24 biological replicate 2 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_9_index9_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-24-009,Needles selected on 2011-05-24 biological replicate 2 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_9_index9_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-24-010,Needles selected on 2011-05-24 biological replicate 3 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_10_index10_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-24-010,Needles selected on 2011-05-24 biological replicate 3 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_10_index10_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-27-011,Needles selected on 2011-05-27 biological replicate 1 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_11_index11_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-27-011,Needles selected on 2011-05-27 biological replicate 1 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_11_index11_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-27-012,Needles selected on 2011-05-27 biological replicate 2 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_12_index12_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-27-012,Needles selected on 2011-05-27 biological replicate 2 techical replicate 1,2012-05-22T10:00:00,5_120522_BD0YETACXX_12_index12_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-27-013,Needles selected on 2011-05-27 biological replicate 3 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_13_index13_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-27-013,Needles selected on 2011-05-27 biological replicate 3 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_13_index13_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-31-014,Needles selected on 2011-05-31 biological replicate 1 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_14_index14_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-31-014,Needles selected on 2011-05-31 biological replicate 1 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_14_index14_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-31-015,Needles selected on 2011-05-31 biological replicate 2 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_15_index15_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-31-015,Needles selected on 2011-05-31 biological replicate 2 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_15_index15_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-31-016,Needles selected on 2011-05-31 biological replicate 3 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_16_index16_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-05-31-016,Needles selected on 2011-05-31 biological replicate 3 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_16_index16_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-017,Needles selected on 2011-06-03 biological replicate 1 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_17_3ug_index18_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-017,Needles selected on 2011-06-03 biological replicate 1 techical replicate 1,2012-05-24T10:00:00,2_120524_BC0R4LACXX_17_3ug_index18_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-018,Needles selected on 2011-06-03 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_18_index1_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-018,Needles selected on 2011-06-03 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_18_index1_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-018,Needles selected on 2011-06-03 biological replicate 2 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_18_index1_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-018,Needles selected on 2011-06-03 biological replicate 2 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_18_index1_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-019,Needles selected on 2011-06-03 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_19_index2_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-019,Needles selected on 2011-06-03 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_19_index2_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-019,Needles selected on 2011-06-03 biological replicate 3 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_19_index2_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-03-019,Needles selected on 2011-06-03 biological replicate 3 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_19_index2_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-020,Needles selected on 2011-06-07 biological replicate 1 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_20_index3_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-020,Needles selected on 2011-06-07 biological replicate 1 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_20_index3_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-020,Needles selected on 2011-06-07 biological replicate 1 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_20_index3_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-020,Needles selected on 2011-06-07 biological replicate 1 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_20_index3_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-021,Needles selected on 2011-06-07 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_21_index4_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-021,Needles selected on 2011-06-07 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_21_index4_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-021,Needles selected on 2011-06-07 biological replicate 2 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_21_index4_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-021,Needles selected on 2011-06-07 biological replicate 2 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_21_index4_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-022,Needles selected on 2011-06-07 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_22_index5_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-022,Needles selected on 2011-06-07 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_22_index5_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-022,Needles selected on 2011-06-07 biological replicate 3 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_22_index5_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-07-022,Needles selected on 2011-06-07 biological replicate 3 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_22_index5_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-023,Needles selected on 2011-06-10 biological replicate 1 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_23_index6_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-023,Needles selected on 2011-06-10 biological replicate 1 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_23_index6_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-023,Needles selected on 2011-06-10 biological replicate 1 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_23_index6_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-023,Needles selected on 2011-06-10 biological replicate 1 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_23_index6_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-024,Needles selected on 2011-06-10 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_24_index7_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-024,Needles selected on 2011-06-10 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_24_index7_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-024,Needles selected on 2011-06-10 biological replicate 2 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_24_index7_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-024,Needles selected on 2011-06-10 biological replicate 2 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_24_index7_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-025,Needles selected on 2011-06-10 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_25_index8_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-025,Needles selected on 2011-06-10 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_25_index8_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-025,Needles selected on 2011-06-10 biological replicate 3 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_25_index8_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-10-025,Needles selected on 2011-06-10 biological replicate 3 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_25_index8_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-026,Needles selected on 2011-06-14 biological replicate 1 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_26_index9_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-026,Needles selected on 2011-06-14 biological replicate 1 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_26_index9_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-026,Needles selected on 2011-06-14 biological replicate 1 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_26_index9_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-026,Needles selected on 2011-06-14 biological replicate 1 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_26_index9_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-027,Needles selected on 2011-06-14 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_27_index10_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-027,Needles selected on 2011-06-14 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_27_index10_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-027,Needles selected on 2011-06-14 biological replicate 2 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_27_index10_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-027,Needles selected on 2011-06-14 biological replicate 2 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_27_index10_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-028,Needles selected on 2011-06-14 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_28_index11_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-028,Needles selected on 2011-06-14 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_28_index11_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-028,Needles selected on 2011-06-14 biological replicate 3 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_28_index11_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-14-028,Needles selected on 2011-06-14 biological replicate 3 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_28_index11_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-17-029,Needles selected on 2011-06-17 biological replicate 1 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_29_index12_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-17-029,Needles selected on 2011-06-17 biological replicate 1 techical replicate 1,2012-06-13T10:00:00,3_120613_AC0TMMACXX_29_index12_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-17-029,Needles selected on 2011-06-17 biological replicate 1 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_29_index12_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-17-029,Needles selected on 2011-06-17 biological replicate 1 techical replicate 2,2012-07-31T10:00:00,8_120731_BD16FCACXX_29_index12_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-17-030,Needles selected on 2011-06-17 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,2_120613_AC0TMMACXX_30_index13_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-17-030,Needles selected on 2011-06-17 biological replicate 2 techical replicate 1,2012-06-13T10:00:00,2_120613_AC0TMMACXX_30_index13_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-17-031,Needles selected on 2011-06-17 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,2_120613_AC0TMMACXX_31_index14_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-17-031,Needles selected on 2011-06-17 biological replicate 3 techical replicate 1,2012-06-13T10:00:00,2_120613_AC0TMMACXX_31_index14_2.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
Overwintering the boreal winter: From seasonal gene expression and photosynthetic responses to acclimation of conifers,2011-06-20-032,Needles selected on 2011-06-20 biological replicate 1 techical replicate 1,2012-06-13T10:00:00,2_120613_AC0TMMACXX_32_index15_1.fastq.gz,/mnt/picea/projects/spruce/sjansson/seasonal-needles/u2015030/raw_data
